datetime,value,units
08/15/2019 0:40:00,201,mg/dL
08/15/2019 0:45:00,204,mg/dL
08/15/2019 0:50:00,204,mg/dL
08/15/2019 0:55:00,230,mg/dL
08/15/2019 1:00:00,230,mg/dL
08/15/2019 1:05:00,251,mg/dL
08/15/2019 1:10:00,251,mg/dL
08/15/2019 1:15:00,295,mg/dL
08/15/2019 1:20:00,295,mg/dL
08/15/2019 1:25:00,289,mg/dL
08/15/2019 1:30:00,289,mg/dL
08/15/2019 1:35:00,303,mg/dL
08/15/2019 1:40:00,303,mg/dL
08/15/2019 1:45:00,344,mg/dL
08/15/2019 1:50:00,344,mg/dL
08/15/2019 1:55:00,360,mg/dL
08/15/2019 2:00:00,360,mg/dL
08/15/2019 2:05:00,365,mg/dL
08/15/2019 2:10:00,365,mg/dL
08/15/2019 2:15:00,373,mg/dL
08/15/2019 2:20:00,373,mg/dL
08/15/2019 2:25:00,384,mg/dL
08/15/2019 2:30:00,384,mg/dL
08/15/2019 2:35:00,398,mg/dL
08/15/2019 2:40:00,398,mg/dL
08/15/2019 2:45:00,400,mg/dL
08/15/2019 2:50:00,400,mg/dL
08/15/2019 2:55:00,393,mg/dL
08/15/2019 3:00:00,393,mg/dL
08/15/2019 3:05:00,398,mg/dL
08/15/2019 3:10:00,398,mg/dL
08/15/2019 3:15:00,400,mg/dL
08/15/2019 3:20:00,400,mg/dL
08/15/2019 3:25:00,400,mg/dL
08/15/2019 3:30:00,400,mg/dL
08/15/2019 3:35:00,400,mg/dL
08/15/2019 3:40:00,400,mg/dL
08/15/2019 3:45:00,397,mg/dL
08/15/2019 3:50:00,397,mg/dL
08/15/2019 3:55:00,390,mg/dL
08/15/2019 4:00:00,390,mg/dL
08/15/2019 4:05:00,369,mg/dL
08/15/2019 4:10:00,369,mg/dL
08/15/2019 4:15:00,352,mg/dL
08/15/2019 4:20:00,352,mg/dL
08/15/2019 4:25:00,340,mg/dL
08/15/2019 4:30:00,340,mg/dL
08/15/2019 4:35:00,306,mg/dL
08/15/2019 4:40:00,306,mg/dL
08/15/2019 4:45:00,291,mg/dL
08/15/2019 4:50:00,291,mg/dL
08/15/2019 4:55:00,284,mg/dL
08/15/2019 5:00:00,284,mg/dL
08/15/2019 5:05:00,265,mg/dL
08/15/2019 5:10:00,265,mg/dL
08/15/2019 5:15:00,223,mg/dL
08/15/2019 5:20:00,223,mg/dL
08/15/2019 5:25:00,218,mg/dL
08/15/2019 5:30:00,218,mg/dL
08/15/2019 5:35:00,215,mg/dL
08/15/2019 5:40:00,215,mg/dL
08/15/2019 5:45:00,216,mg/dL
08/15/2019 5:50:00,216,mg/dL
08/15/2019 5:55:00,223,mg/dL
08/15/2019 6:00:00,223,mg/dL
08/15/2019 6:05:00,236,mg/dL
08/15/2019 6:10:00,236,mg/dL
08/15/2019 6:15:00,242,mg/dL
08/15/2019 6:20:00,242,mg/dL
08/15/2019 6:25:00,247,mg/dL
08/15/2019 6:30:00,247,mg/dL
08/15/2019 6:35:00,249,mg/dL
08/15/2019 6:40:00,249,mg/dL
08/15/2019 6:45:00,246,mg/dL
08/15/2019 6:50:00,246,mg/dL
08/15/2019 6:55:00,239,mg/dL
08/15/2019 7:00:00,239,mg/dL
08/15/2019 7:05:00,227,mg/dL
08/15/2019 7:10:00,227,mg/dL
08/15/2019 7:15:00,208,mg/dL
08/15/2019 7:20:00,208,mg/dL
08/15/2019 7:25:00,206,mg/dL
08/15/2019 7:30:00,206,mg/dL
08/15/2019 7:35:00,197,mg/dL
08/15/2019 7:40:00,197,mg/dL
08/15/2019 7:45:00,176,mg/dL
08/15/2019 7:50:00,176,mg/dL
08/15/2019 7:55:00,178,mg/dL
08/15/2019 8:00:00,178,mg/dL
08/15/2019 8:05:00,178,mg/dL
08/15/2019 8:10:00,178,mg/dL
08/15/2019 8:15:00,164,mg/dL
08/15/2019 8:20:00,164,mg/dL
08/15/2019 8:25:00,156,mg/dL
08/15/2019 8:30:00,156,mg/dL
08/15/2019 8:35:00,153,mg/dL
08/15/2019 8:40:00,153,mg/dL
08/15/2019 8:45:00,145,mg/dL
08/15/2019 8:50:00,145,mg/dL
08/15/2019 8:55:00,139,mg/dL
08/15/2019 9:00:00,139,mg/dL
08/15/2019 9:05:00,132,mg/dL
08/15/2019 9:10:00,132,mg/dL
08/15/2019 9:15:00,126,mg/dL
08/15/2019 9:20:00,126,mg/dL
08/15/2019 9:25:00,121,mg/dL
08/15/2019 9:30:00,121,mg/dL
08/15/2019 9:35:00,105,mg/dL
08/15/2019 9:40:00,105,mg/dL
